visibility,parent-FQN,method-name,param-list,return-type,tags
public,org.languagetool.rules.neuralnetwork.Suggestion,isUnsure,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.FragmentWithLanguage,getLangCode,[],java.lang.String,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.Category,isDefaultOff,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.Rule,isDefaultOff,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.rules.neuralnetwork.Matrix,rows,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.server.UserLimits,getSkipLimits,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.ScoredConfusionSet,getScore,[],float,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.dev.eval.RealWordCorpusEvaluator,getRealErrorsFoundWithGoodSuggestion,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
,org.languagetool.dev.diff.LightRuleMatch,getColumn,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
private,org.languagetool.gui.TreeListener,isValidNode,[java.lang.Object],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=true, loops=false}"
public,org.languagetool.rules.patterns.Match,getIncludeSkipped,[],org.languagetool.rules.patterns.Match$IncludeRange,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.openoffice.TextLevelCheckQueue,isWaiting,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.gui.Configuration,noSynonymsAsSuggestions,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.patterns.Match,isInMessageOnly,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.UserConfig,hasABTestsEnabled,[],boolean,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=true, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.language.Catalan,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.language.English,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.language.German,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.language.Irish,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.language.Portuguese,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.Language,getDefaultLanguageVariant,[],org.languagetool.Language,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.patterns.bitext.BitextPatternRule,getTrgRule,[],org.languagetool.rules.patterns.AbstractPatternRule,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.gui.LanguageToolSupport,getConfig,[],org.languagetool.gui.Configuration,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.rules.spelling.suggestions.SuggestionsChanges,getConfig,[],org.languagetool.rules.spelling.suggestions.SuggestionChangesTestConfig,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=false, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.remote.RemoteRuleMatch,getContextOffset,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
public,org.languagetool.server.RemoteRuleMatch,getContextOffset,[],int,"{multiple_statements=false, conditionals=false, local_variables=false, returns_primitives=true, static=false, ifs=false, switches=false, returns=true, parameters=false, loops=false}"
