schemaTuple,visited,timesVisited
allocationquantity,True,2
allocationwarehouse,True,2
invoiceid,True,1
invoicemetadata,False,0
invoicestatus,True,1
invoicenumber,True,2
invoiceexternalurl,True,2
invoiceprivatemetadata,False,0
invoicecreatedat,False,0
invoiceupdatedat,False,0
invoicemessage,False,0
invoiceurl,False,0
jobstatus,False,0
jobcreatedat,False,0
jobupdatedat,False,0
jobmessage,False,0
paymentid,True,7
paymentgateway,True,4
paymentisactive,False,0
paymentcreated,False,0
paymentmodified,False,0
paymenttoken,True,3
paymentcheckout,False,0
paymentorder,False,0
paymentcustomeripaddress,False,0
paymentchargestatus,True,1
paymentactions,True,1
paymenttotal,True,4
paymentcapturedamount,True,1
paymenttransactions,True,1
paymentavailablecaptureamount,False,0
paymentavailablerefundamount,False,0
paymentcreditcard,True,3
transactionid,False,0
transactioncreated,False,0
transactionpayment,False,0
transactiontoken,False,0
transactionkind,False,0
transactionissuccess,False,0
transactionerror,False,0
transactionamount,True,1
creditcardbrand,True,3
creditcardfirstdigits,True,4
creditcardlastdigits,True,4
creditcardexpmonth,True,3
creditcardexpyear,True,3
ordereventid,True,3
ordereventdate,True,4
ordereventtype,True,5
ordereventuser,True,4
ordereventmessage,True,4
ordereventemail,True,4
ordereventemailtype,True,4
ordereventamount,True,4
ordereventpaymentid,True,2
ordereventpaymentgateway,True,2
ordereventquantity,True,4
ordereventcomposedid,True,3
ordereventordernumber,True,3
ordereventinvoicenumber,True,1
ordereventoversolditems,True,1
ordereventlines,True,2
ordereventfulfilleditems,True,1
ordereventwarehouse,True,1
ordereventorderlineobjectquantity,True,2
ordereventorderlineobjectorderline,True,1
ordereventorderlineobjectitemname,False,0
userpermissioncode,True,11
userpermissionname,True,7
userpermissionsourcepermissiongroups,True,4
groupid,True,9
groupname,True,28
grouppermissions,True,13
groupusers,True,8
groupusercanmanage,True,9
customereventid,True,11
customereventdate,False,0
customereventtype,True,11
customereventuser,True,11
customereventmessage,True,11
customereventcount,True,11
customereventorder,True,11
customereventorderline,True,12
paymentsourcegateway,True,1
paymentsourcecreditcardinfo,True,2
digitalcontentcountableconnectionpageinfo,False,0
digitalcontentcountableconnectionedges,True,1
digitalcontentcountableconnectiontotalcount,False,0
digitalcontentcountableedgenode,True,1
digitalcontentcountableedgecursor,False,0
productvariantcountableconnectionpageinfo,False,0
productvariantcountableconnectionedges,True,24
productvariantcountableconnectiontotalcount,True,1
productvariantcountableedgenode,True,24
productvariantcountableedgecursor,False,0
paymentcountableconnectionpageinfo,False,0
paymentcountableconnectionedges,True,2
paymentcountableconnectiontotalcount,False,0
paymentcountableedgenode,True,2
paymentcountableedgecursor,False,0
pagecountableconnectionpageinfo,False,0
pagecountableconnectionedges,True,16
pagecountableconnectiontotalcount,True,5
pagecountableedgenode,True,16
pagecountableedgecursor,False,0
ordereventcountableconnectionpageinfo,False,0
ordereventcountableconnectionedges,True,2
ordereventcountableconnectiontotalcount,False,0
ordereventcountableedgenode,True,2
ordereventcountableedgecursor,False,0
menucountableconnectionpageinfo,True,4
menucountableconnectionedges,True,12
menucountableconnectiontotalcount,True,4
menucountableedgenode,True,12
menucountableedgecursor,False,0
menuitemcountableconnectionpageinfo,True,4
menuitemcountableconnectionedges,True,8
menuitemcountableconnectiontotalcount,True,2
menuitemcountableedgenode,True,8
menuitemcountableedgecursor,False,0
pluginid,True,8
pluginname,True,7
plugindescription,True,3
pluginactive,True,3
pluginconfiguration,True,3
configurationitemname,True,3
configurationitemvalue,True,3
configurationitemtype,True,3
configurationitemhelptext,True,3
configurationitemlabel,True,3
plugincountableconnectionpageinfo,False,0
plugincountableconnectionedges,True,10
plugincountableconnectiontotalcount,True,5
plugincountableedgenode,True,10
plugincountableedgecursor,False,0
salecountableconnectionpageinfo,True,12
salecountableconnectionedges,True,35
salecountableconnectiontotalcount,False,0
salecountableedgenode,True,35
salecountableedgecursor,False,0
vouchercountableconnectionpageinfo,True,16
vouchercountableconnectionedges,True,45
vouchercountableconnectiontotalcount,False,0
vouchercountableedgenode,True,45
vouchercountableedgecursor,False,0
exportfileid,True,16
exportfileuser,True,16
exportfileapp,True,16
exportfilestatus,True,16
exportfilecreatedat,True,16
exportfileupdatedat,True,16
exportfilemessage,False,0
exportfileurl,True,16
exportfileevents,True,4
exporteventid,False,0
exporteventdate,True,4
exporteventtype,True,4
exporteventuser,True,4
exporteventapp,True,4
exporteventmessage,True,4
exportfilecountableconnectionpageinfo,False,0
exportfilecountableconnectionedges,True,12
exportfilecountableconnectiontotalcount,False,0
exportfilecountableedgenode,True,12
exportfilecountableedgecursor,False,0
checkoutcountableconnectionpageinfo,False,0
checkoutcountableconnectionedges,True,1
checkoutcountableconnectiontotalcount,False,0
checkoutcountableedgenode,True,1
checkoutcountableedgecursor,False,0
checkoutlinecountableconnectionpageinfo,False,0
checkoutlinecountableconnectionedges,True,1
checkoutlinecountableconnectiontotalcount,False,0
checkoutlinecountableedgenode,True,1
checkoutlinecountableedgecursor,False,0
appinstallationappname,True,1
appinstallationmanifesturl,True,1
appinstallationid,True,2
appinstallationstatus,True,1
appinstallationcreatedat,False,0
appinstallationupdatedat,False,0
appinstallationmessage,True,1
appcountableconnectionpageinfo,True,6
appcountableconnectionedges,True,15
appcountableconnectiontotalcount,False,0
appcountableedgenode,True,15
appcountableedgecursor,False,0
addressvalidationdatacountrycode,True,2
addressvalidationdatacountryname,True,2
addressvalidationdataaddressformat,True,1
addressvalidationdataaddresslatinformat,True,1
addressvalidationdataallowedfields,True,1
addressvalidationdatarequiredfields,True,1
addressvalidationdataupperfields,False,0
addressvalidationdatacountryareatype,True,1
addressvalidationdatacountryareachoices,True,1
addressvalidationdatacitytype,True,1
addressvalidationdatacitychoices,True,1
addressvalidationdatacityareatype,True,1
addressvalidationdatacityareachoices,True,1
addressvalidationdatapostalcodetype,False,0
addressvalidationdatapostalcodematchers,True,1
addressvalidationdatapostalcodeexamples,False,0
addressvalidationdatapostalcodeprefix,False,0
choicevalueraw,True,3
choicevalueverbose,True,3
usercountableconnectionpageinfo,True,33
usercountableconnectionedges,True,86
usercountableconnectiontotalcount,True,37
usercountableedgenode,True,86
usercountableedgecursor,True,1
groupcountableconnectionpageinfo,True,5
groupcountableconnectionedges,True,10
groupcountableconnectiontotalcount,False,0
groupcountableedgenode,True,10
groupcountableedgecursor,False,0
serviceaccountcountableconnectionpageinfo,False,0
serviceaccountcountableconnectionedges,False,0
serviceaccountcountableconnectiontotalcount,False,0
serviceaccountcountableedgenode,False,0
serviceaccountcountableedgecursor,False,0
mutationwebhookcreate,False,0
mutationwebhookdelete,False,0
mutationwebhookupdate,False,0
mutationcreatewarehouse,False,0
mutationupdatewarehouse,False,0
mutationdeletewarehouse,False,0
mutationassignwarehouseshippingzone,False,0
mutationunassignwarehouseshippingzone,False,0
mutationauthorizationkeyadd,False,0
mutationauthorizationkeydelete,False,0
mutationstaffnotificationrecipientcreate,False,0
mutationstaffnotificationrecipientupdate,False,0
mutationstaffnotificationrecipientdelete,False,0
mutationhomepagecollectionupdate,False,0
mutationshopdomainupdate,False,0
mutationshopsettingsupdate,False,0
mutationshopfetchtaxrates,False,0
mutationshopsettingstranslate,False,0
mutationshopaddressupdate,False,0
mutationshippingpricecreate,False,0
mutationshippingpricedelete,False,0
mutationshippingpricebulkdelete,False,0
